,policy,split,steps,sharpe,se_sharpe,t_stat,ci_lo,ci_hi
0,gae_policy,train,7008,0.44921505431105696,0.18922394620508814,2.373986291482266,0.07371517384546626,0.776812640810101
1,gae_policy,valid,1954,0.7333319003525273,0.35659741515259885,2.056470039298272,0.058653572478590175,1.2931591066519614
2,gae_policy,test,7529,0.561464271402873,0.1823987071462507,3.0782250608425663,0.2860433908349926,0.8100885919012163
3,long_spy,train,7008,0.47267525031558216,0.18892200723644856,2.501959709352428,0.07604596204701294,0.909142282939225
4,long_spy,valid,1954,0.447875495782065,0.3583045152147894,1.2499856316730513,-0.22526921919089754,1.2169797772801052
5,long_spy,test,7529,0.223435244755147,0.18284188793021158,1.2220134416924715,-0.11690742146947136,0.6179852488047716
6,vix_band,train,7008,0.1423058637889443,0.19005647262216116,0.7487556820643161,-0.2252903864119887,0.566981182930987
7,vix_band,valid,1954,0.38006786568577444,0.35851101817103825,1.0601288284658852,-0.4876319993064141,0.8327692952424046
8,vix_band,test,7529,0.1648316238586933,0.18282168580075817,0.9015977679930667,-0.18195644726423849,0.5686111167511233
9,vix_vol_target,train,7008,0.33196903263871536,0.18939680837493783,1.7527699409883168,-0.046742411594247524,0.7657949415699536
10,vix_vol_target,valid,1954,0.47225519885149314,0.35828279522649387,1.3181073865211694,-0.2163008143402557,1.1423611459658853
11,vix_vol_target,test,7529,0.17195915388801822,0.182911389243714,0.9401227260862206,-0.15586191624797588,0.6049914634195457
12,vol_target,train,7008,0.16527631210087726,0.18967632592528066,0.8713597297639806,-0.2065546050485204,0.6277843913343334
13,vol_target,valid,1954,0.3411360628765857,0.3582170377902188,0.9523166876176444,-0.38642129321891444,0.9631279389703284
14,vol_target,test,7529,-0.026113211472262702,0.1825879593944784,-0.14301716038046913,-0.33397163510467587,0.37998223043577556
15,ml_gbr,train,7008,0.8175509561386278,0.18791346649362753,4.350677848659411,0.5012402703493801,1.1105756130053863
16,ml_gbr,valid,1954,0.8579699656272977,0.3560101448546834,2.4099593172478406,0.2120009063606866,1.3806960918955014
17,ml_gbr,test,7529,0.1663936522500305,0.1827904216097298,0.9102974367294391,-0.18483992783791134,0.4970068008296378
